yearID,teamID,franchID,lgID,name,W,L,G,W_pct,canonical_franchise,is_relocated_franchise,relocation_year,pre_relocation,post_relocation,years_since_relocation
1984,CAL,ANA,AL,California Angels,81,81,162,0.5,,False,,False,False,
1985,CAL,ANA,AL,California Angels,90,72,162,0.556,,False,,False,False,
1986,CAL,ANA,AL,California Angels,92,70,162,0.568,,False,,False,False,
1987,CAL,ANA,AL,California Angels,75,87,162,0.463,,False,,False,False,
1988,CAL,ANA,AL,California Angels,75,87,162,0.463,,False,,False,False,
1989,CAL,ANA,AL,California Angels,91,71,162,0.562,,False,,False,False,
1990,CAL,ANA,AL,California Angels,80,82,162,0.494,,False,,False,False,
1991,CAL,ANA,AL,California Angels,81,81,162,0.5,,False,,False,False,
1992,CAL,ANA,AL,California Angels,72,90,162,0.444,,False,,False,False,
1993,CAL,ANA,AL,California Angels,71,91,162,0.438,,False,,False,False,
1994,CAL,ANA,AL,California Angels,47,68,115,0.409,,False,,False,False,
1995,CAL,ANA,AL,California Angels,78,67,145,0.538,,False,,False,False,
1996,CAL,ANA,AL,California Angels,70,91,161,0.435,,False,,False,False,
1997,ANA,ANA,AL,Anaheim Angels,84,78,162,0.519,,False,,False,False,
1998,ANA,ANA,AL,Anaheim Angels,85,77,162,0.525,,False,,False,False,
1999,ANA,ANA,AL,Anaheim Angels,70,92,162,0.432,,False,,False,False,
2000,ANA,ANA,AL,Anaheim Angels,82,80,162,0.506,,False,,False,False,
2001,ANA,ANA,AL,Anaheim Angels,75,87,162,0.463,,False,,False,False,
2002,ANA,ANA,AL,Anaheim Angels,99,63,162,0.611,,False,,False,False,
2003,ANA,ANA,AL,Anaheim Angels,77,85,162,0.475,,False,,False,False,
2004,ANA,ANA,AL,Anaheim Angels,92,70,162,0.568,,False,,False,False,
2005,LAA,ANA,AL,Los Angeles Angels of Anaheim,95,67,162,0.586,,False,,False,False,
2006,LAA,ANA,AL,Los Angeles Angels of Anaheim,89,73,162,0.549,,False,,False,False,
